2.500,5.000
4.500,5.000
5.000,11.000
2.500,8.000
1.333,15.000
2.000,5.000
1.182,48.500
3.200,135.500
3.667,10.000
4.667,10.000
7.500,5.000
10.000,2.500
7.500,84.500
4.500,5.000
4.500,5.500
4.250,19.000
4.500,5.000
4.333,5.500
2.000,47.000
1.200,25.500
3.500,6.500
3.333,17.500
4.333,117.000
4.000,5.000
2.500,5.500
2.000,29.000
3.667,64.000
3.000,11.500
1.875,146.500
3.500,6.500
3.667,9.500
2.667,38.500
1.000,74.000
1.750,157.000
3.286,48.500
2.273,114.500
3.500,311.000
1.000,4.500
1.000,5.000
1.000,5.000
1.000,5.000
1.000,140.000
1.500,2.000
1.500,104.000
1.000,5.000
1.000,5.000
1.000,5.500
1.000,5.000
1.000,34.500
10.000,8.500
9.583,277.500
10.000,8.000
10.000,12.000
10.000,66.000
10.000,135.000
10.000,5.000
6.667,10.000
7.000,10.500
7.000,3.000
5.667,129.500
6.000,21.500
6.000,35.500
5.333,9.500
4.500,13.000
2.667,82.500
6.400,61.500
1.500,12.000
2.000,5.500
2.000,7.000
1.500,6.500
1.000,6.500
1.000,6.000
1.000,10.500
1.000,29.000
1.000,14.000
1.000,8.500
1.000,9.000
1.000,6.500
1.000,7.500
1.000,6.000
1.000,8.000
1.000,4.500
1.000,11.500
1.000,28.500
1.000,170.000
1.000,12.000
1.000,11.000
1.000,7.500
1.000,10.500
1.000,8.500
1.000,11.500
1.000,8.500
1.000,13.000
1.500,6.500
2.000,6.000
2.000,4.000
2.000,3.000
1.500,36.500
1.000,5.000
1.500,5.000
2.000,5.000
2.000,5.000
2.500,5.000
3.500,5.000
3.500,5.000
2.000,5.000
1.500,5.000
1.500,5.000
1.000,8.000
1.000,6.000
1.000,6.000
1.000,5.000
1.000,63.500
1.500,280.000
2.000,14.000
1.500,8.500
1.000,5.000
4.000,44.000
7.000,4.500
5.500,5.500
4.000,4.500
3.000,11.500
1.500,7.500
6.143,92.000
9.400,20.000
8.000,5.000
8.000,5.500
2.000,16.500
3.000,19.000
2.917,123.500
1.000,5.500
2.000,5.000
3.333,9.500
1.600,91.000
4.000,10.000
3.000,4.500
2.000,30.000
3.833,65.000
3.333,27.000
4.143,86.500
5.333,9.500
4.857,159.000
8.750,18.500
8.167,31.500
7.857,69.500
9.750,21.000
2.444,65.500
9.500,5.000
8.400,28.500
3.250,14.000
4.000,5.000
3.500,5.000
1.957,356.000
3.500,5.000
4.500,5.000
4.000,5.000
3.500,25.500
3.000,134.500
2.625,43.000
3.000,5.000
4.467,185.500
1.786,169.500
2.000,5.000
1.333,98.500
1.067,133.000
1.667,131.000
1.042,192.000
1.667,10.500
3.000,18.500
4.000,9.500
4.000,3.500
4.500,2.000
2.286,183.500
2.500,44.000
4.500,5.500
7.000,18.500
7.000,5.500
5.000,5.000
5.250,15.000
6.000,20.500
1.571,52.000
10.000,17.000
9.667,9.500
7.500,37.500
9.400,46.500
8.500,11.500
4.077,76.000
8.500,3.000
6.000,1.500
3.400,161.500
4.500,5.000
7.000,21.500
6.000,42.500
2.500,5.000
3.600,20.500
4.000,27.500
8.500,5.500
10.000,6.500
7.000,38.000
4.000,5.000
4.125,37.500
4.000,5.000
2.000,4.500
2.167,39.000
3.500,5.500
6.333,11.000
3.000,10.500
2.000,4.500
2.556,189.500
1.417,83.000
4.667,26.500
2.333,18.000
8.286,35.500
10.000,14.000
10.000,4.500
10.000,3.500
6.500,158.000
10.000,9.000
7.500,15.500
8.000,22.000
10.000,8.000
6.500,7.500
3.000,5.000
3.714,30.500
6.500,8.000
4.000,6.000
6.500,53.000
8.600,33.000
8.000,8.500
5.500,128.500
4.000,2.500
5.333,85.000
7.500,3.500
1.400,231.000
1.500,8.500
8.500,53.000
5.000,29.000
5.200,31.500
8.042,190.500
7.000,15.000
9.875,61.000
10.000,5.000
10.000,78.500
10.000,10.000
10.000,25.500
9.000,50.000
7.000,74.000
2.000,6.500
4.500,7.000
5.500,6.500
4.500,6.500
2.500,6.000
1.500,5.500
2.000,12.500
2.000,6.500
2.000,18.500
2.500,9.000
3.000,5.000
3.667,11.000
3.000,5.500
3.000,4.500
3.500,5.000
4.000,5.500
5.000,5.500
6.500,5.000
7.000,2.000
5.000,245.500
2.000,6.500
1.000,6.500
1.000,4.500
1.000,7.000
2.000,5.000
3.000,12.000
2.500,8.000
3.667,18.500
7.833,49.500
10.000,5.500
10.000,10.500
10.000,9.000
7.500,12.000
6.000,23.000
3.357,226.000
4.250,102.500
2.714,119.000
3.600,42.000
4.667,11.000
4.000,50.500
5.667,17.500
5.667,10.000
5.667,37.500
8.000,14.000
2.786,309.500
2.917,190.000
4.000,5.000
1.500,14.000
1.000,13.500
1.000,10.000
1.000,11.500
1.000,14.000
1.000,310.500
1.000,18.500
1.500,9.500
1.500,11.500
1.000,9.000
1.000,19.000
1.000,7.500
1.000,20.000
1.500,12.000
2.000,24.500
1.500,5.000
1.000,9.000
